County,Adjusted Gross Income,Number of Returns,Total Salaries & Wages
"Marshall County, IA","100,000 - $199,999",1720.0,148624.0
"Marshall County, IA","$200,000 or more",330.0,54777.0
"Mills County, IA",Under $1,100.0,1237.0
"Mills County, IA","1 - $9,999",860.0,3631.0
"Mills County, IA","10,000 - $24,999",1120.0,14045.0
"Mills County, IA","25,000 - $49,999",1490.0,41157.0
"Mills County, IA","50,000 - $74,999",1000.0,47132.0
"Mills County, IA","75,000 - $99,999",840.0,53086.0
"Mills County, IA","100,000 - $199,999",1020.0,97571.0
"Mills County, IA","$200,000 or more",200.0,33106.0
"Mitchell County, IA",Under $1,120.0,1522.0
"Mitchell County, IA","1 - $9,999",610.0,2841.0
"Mitchell County, IA","10,000 - $24,999",910.0,11274.0
"Mitchell County, IA","25,000 - $49,999",1210.0,32020.0
"Mitchell County, IA","50,000 - $74,999",750.0,32325.0
"Mitchell County, IA","75,000 - $99,999",520.0,29242.0
"Mitchell County, IA","100,000 - $199,999",560.0,39502.0
"Mitchell County, IA","$200,000 or more",140.0,12206.0
"Monona County, IA",Under $1,90.0,531.0
"Monona County, IA","1 - $9,999",610.0,2879.0
"Monona County, IA","10,000 - $24,999",900.0,10738.0
"Monona County, IA","25,000 - $49,999",1090.0,29885.0
"Monona County, IA","50,000 - $74,999",640.0,26919.0
"Monona County, IA","75,000 - $99,999",390.0,21220.0
"Monona County, IA","100,000 - $199,999",350.0,24455.0
"Monona County, IA","$200,000 or more",120.0,9701.0
"Monroe County, IA",Under $1,100.0,529.0
"Monroe County, IA","1 - $9,999",560.0,2186.0
"Monroe County, IA","10,000 - $24,999",710.0,8536.0
"Monroe County, IA","25,000 - $49,999",880.0,25106.0
"Monroe County, IA","50,000 - $74,999",560.0,27447.0
"Monroe County, IA","75,000 - $99,999",370.0,24963.0
"Monroe County, IA","100,000 - $199,999",260.0,24846.0
"Monroe County, IA","$200,000 or more",50.0,4060.0
"Montgomery County, IA",Under $1,80.0,446.0
"Montgomery County, IA","1 - $9,999",770.0,3253.0
"Montgomery County, IA","10,000 - $24,999",1030.0,12410.0
"Montgomery County, IA","25,000 - $49,999",1140.0,31427.0
"Montgomery County, IA","50,000 - $74,999",730.0,32159.0
"Montgomery County, IA","75,000 - $99,999",500.0,29868.0
"Montgomery County, IA","100,000 - $199,999",440.0,32699.0
"Montgomery County, IA","$200,000 or more",100.0,9892.0
"Muscatine County, IA",Under $1,180.0,1776.0
"Muscatine County, IA","1 - $9,999",2970.0,13362.0
"Muscatine County, IA","10,000 - $24,999",4170.0,56278.0
"Muscatine County, IA","25,000 - $49,999",5540.0,166492.0
"Muscatine County, IA","50,000 - $74,999",3160.0,152273.0
"Muscatine County, IA","75,000 - $99,999",2130.0,140589.0
"Muscatine County, IA","100,000 - $199,999",2210.0,207784.0
"Muscatine County, IA","$200,000 or more",430.0,89583.0
"O'Brien County, IA",Under $1,110.0,1151.0
"O'Brien County, IA","1 - $9,999",960.0,4156.0
"O'Brien County, IA","10,000 - $24,999",1270.0,15480.0
"O'Brien County, IA","25,000 - $49,999",1650.0,45630.0
"O'Brien County, IA","50,000 - $74,999",1120.0,49292.0
"O'Brien County, IA","75,000 - $99,999",740.0,41667.0
"O'Brien County, IA","100,000 - $199,999",660.0,44687.0
"O'Brien County, IA","$200,000 or more",190.0,19719.0
"Osceola County, IA",Under $1,60.0,675.0
"Osceola County, IA","1 - $9,999",350.0,1674.0
"Osceola County, IA","10,000 - $24,999",580.0,7290.0
"Osceola County, IA","25,000 - $49,999",840.0,24297.0
"Osceola County, IA","50,000 - $74,999",550.0,23823.0
"Osceola County, IA","75,000 - $99,999",320.0,17967.0
"Osceola County, IA","100,000 - $199,999",260.0,16548.0
"Osceola County, IA","$200,000 or more",60.0,5826.0
"Page County, IA",Under $1,110.0,515.0
"Page County, IA","1 - $9,999",1000.0,4111.0
"Page County, IA","10,000 - $24,999",1430.0,17634.0
"Page County, IA","25,000 - $49,999",1620.0,44842.0
"Page County, IA","50,000 - $74,999",1080.0,48745.0
"Page County, IA","75,000 - $99,999",680.0,40168.0
"Page County, IA","100,000 - $199,999",570.0,41382.0
"Page County, IA","$200,000 or more",140.0,14590.0
"Palo Alto County, IA",Under $1,100.0,645.0
"Palo Alto County, IA","1 - $9,999",580.0,2701.0
"Palo Alto County, IA","10,000 - $24,999",860.0,11278.0
"Palo Alto County, IA","25,000 - $49,999",1170.0,31676.0
"Palo Alto County, IA","50,000 - $74,999",680.0,28406.0
"Palo Alto County, IA","75,000 - $99,999",420.0,24516.0
"Palo Alto County, IA","100,000 - $199,999",390.0,26413.0
"Palo Alto County, IA","$200,000 or more",80.0,6111.0
"Plymouth County, IA",Under $1,200.0,2429.0
"Plymouth County, IA","1 - $9,999",1700.0,7943.0
"Plymouth County, IA","10,000 - $24,999",2060.0,26413.0
"Plymouth County, IA","25,000 - $49,999",2810.0,78752.0
"Plymouth County, IA","50,000 - $74,999",1970.0,91548.0
"Plymouth County, IA","75,000 - $99,999",1410.0,86579.0
"Plymouth County, IA","100,000 - $199,999",1590.0,133675.0
"Plymouth County, IA","$200,000 or more",430.0,59581.0
"Pocahontas County, IA",Under $1,80.0,556.0
"Pocahontas County, IA","1 - $9,999",450.0,1892.0
"Pocahontas County, IA","10,000 - $24,999",650.0,8171.0
"Pocahontas County, IA","25,000 - $49,999",900.0,23865.0
"Pocahontas County, IA","50,000 - $74,999",510.0,20978.0
"Pocahontas County, IA","75,000 - $99,999",330.0,18040.0
"Pocahontas County, IA","100,000 - $199,999",370.0,22241.0
"Pocahontas County, IA","$200,000 or more",80.0,5127.0
"Polk County, IA",Under $1,1680.0,16431.0
"Polk County, IA","1 - $9,999",28470.0,124425.0
"Polk County, IA","10,000 - $24,999",42040.0,579434.0
"Polk County, IA","25,000 - $49,999",55280.0,1694978.0
"Polk County, IA","50,000 - $74,999",32440.0,1579853.0
"Polk County, IA","75,000 - $99,999",22000.0,1495687.0
"Polk County, IA","100,000 - $199,999",30740.0,3229010.0
"Polk County, IA","$200,000 or more",8750.0,2214888.0
"Pottawattamie Coun, IA",Under $1,400.0,2946.0
"Pottawattamie Coun, IA","1 - $9,999",5950.0,26488.0
"Pottawattamie Coun, IA","10,000 - $24,999",9380.0,127628.0
"Pottawattamie Coun, IA","25,000 - $49,999",11010.0,324993.0
"Pottawattamie Coun, IA","50,000 - $74,999",6270.0,293472.0
"Pottawattamie Coun, IA","75,000 - $99,999",4180.0,278490.0
"Pottawattamie Coun, IA","100,000 - $199,999",4820.0,454739.0
"Pottawattamie Coun, IA","$200,000 or more",840.0,146900.0
"Poweshiek County, IA",Under $1,130.0,1002.0
"Poweshiek County, IA","1 - $9,999",1230.0,5248.0
"Poweshiek County, IA","10,000 - $24,999",1540.0,18796.0
"Poweshiek County, IA","25,000 - $49,999",2060.0,58260.0
"Poweshiek County, IA","50,000 - $74,999",1280.0,55682.0
"Poweshiek County, IA","75,000 - $99,999",940.0,57644.0
"Poweshiek County, IA","100,000 - $199,999",880.0,71784.0
"Poweshiek County, IA","$200,000 or more",220.0,30071.0
"Ringgold County, IA",Under $1,90.0,529.0
"Ringgold County, IA","1 - $9,999",280.0,1317.0
"Ringgold County, IA","10,000 - $24,999",490.0,5456.0
"Ringgold County, IA","25,000 - $49,999",500.0,13567.0
"Ringgold County, IA","50,000 - $74,999",310.0,12385.0
"Ringgold County, IA","75,000 - $99,999",190.0,11189.0
"Ringgold County, IA","100,000 - $199,999",170.0,11878.0
"Ringgold County, IA","$200,000 or more",40.0,5950.0
"Sac County, IA",Under $1,110.0,810.0
"Sac County, IA","1 - $9,999",690.0,3170.0
"Sac County, IA","10,000 - $24,999",870.0,10571.0
"Sac County, IA","25,000 - $49,999",1240.0,35378.0
"Sac County, IA","50,000 - $74,999",810.0,33976.0
"Sac County, IA","75,000 - $99,999",490.0,26092.0
"Sac County, IA","100,000 - $199,999",470.0,29382.0
"Sac County, IA","$200,000 or more",130.0,9827.0
"Scott County, IA",Under $1,700.0,4466.0
"Scott County, IA","1 - $9,999",11850.0,50803.0
"Scott County, IA","10,000 - $24,999",17330.0,229559.0
"Scott County, IA","25,000 - $49,999",18150.0,514574.0
"Scott County, IA","50,000 - $74,999",11790.0,540738.0
"Scott County, IA","75,000 - $99,999",8250.0,527498.0
"Scott County, IA","100,000 - $199,999",11170.0,1107142.0
"Scott County, IA","$200,000 or more",3130.0,781189.0
"Shelby County, IA",Under $1,110.0,1354.0
"Shelby County, IA","1 - $9,999",880.0,3619.0
"Shelby County, IA","10,000 - $24,999",1090.0,13641.0
"Shelby County, IA","25,000 - $49,999",1390.0,38091.0
"Shelby County, IA","50,000 - $74,999",920.0,38649.0
"Shelby County, IA","75,000 - $99,999",640.0,36045.0
"Shelby County, IA","100,000 - $199,999",680.0,51299.0
"Shelby County, IA","$200,000 or more",180.0,20270.0
"Sioux County, IA",Under $1,210.0,4812.0
"Sioux County, IA","1 - $9,999",2000.0,9401.0
"Sioux County, IA","10,000 - $24,999",2220.0,29907.0
"Sioux County, IA","25,000 - $49,999",3370.0,98686.0
"Sioux County, IA","50,000 - $74,999",2580.0,121101.0
"Sioux County, IA","75,000 - $99,999",1820.0,115304.0
"Sioux County, IA","100,000 - $199,999",1670.0,128087.0
"Sioux County, IA","$200,000 or more",600.0,69479.0
"Story County, IA",Under $1,330.0,2740.0
"Story County, IA","1 - $9,999",5370.0,26992.0
"Story County, IA","10,000 - $24,999",7040.0,101213.0
"Story County, IA","25,000 - $49,999",7820.0,234232.0
"Story County, IA","50,000 - $74,999",5000.0,232461.0
"Story County, IA","75,000 - $99,999",3850.0,247662.0
"Story County, IA","100,000 - $199,999",5590.0,521778.0
"Story County, IA","$200,000 or more",1480.0,268059.0
"Tama County, IA",Under $1,140.0,723.0
"Tama County, IA","1 - $9,999",1210.0,4391.0
"Tama County, IA","10,000 - $24,999",1740.0,21633.0
"Tama County, IA","25,000 - $49,999",2220.0,60537.0
"Tama County, IA","50,000 - $74,999",1250.0,53821.0
"Tama County, IA","75,000 - $99,999",890.0,54587.0
"Tama County, IA","100,000 - $199,999",780.0,63354.0
"Tama County, IA","$200,000 or more",120.0,11613.0
"Taylor County, IA",Under $1,90.0,620.0
"Taylor County, IA","1 - $9,999",380.0,1365.0
"Taylor County, IA","10,000 - $24,999",610.0,7476.0
"Taylor County, IA","25,000 - $49,999",770.0,21525.0
"Taylor County, IA","50,000 - $74,999",440.0,19034.0
"Taylor County, IA","75,000 - $99,999",290.0,17739.0
"Taylor County, IA","100,000 - $199,999",180.0,14452.0
"Taylor County, IA","$200,000 or more",30.0,0.0
"Union County, IA",Under $1,110.0,1036.0
"Union County, IA","1 - $9,999",730.0,3081.0
"Union County, IA","10,000 - $24,999",1280.0,16987.0
"Union County, IA","25,000 - $49,999",1560.0,43080.0
"Union County, IA","50,000 - $74,999",830.0,36608.0
"Union County, IA","75,000 - $99,999",510.0,30297.0
"Union County, IA","100,000 - $199,999",450.0,38123.0
"Union County, IA","$200,000 or more",90.0,13338.0
"Van Buren County, IA",Under $1,100.0,697.0
"Van Buren County, IA","1 - $9,999",460.0,1704.0
"Van Buren County, IA","10,000 - $24,999",740.0,8099.0
"Van Buren County, IA","25,000 - $49,999",880.0,24258.0
"Van Buren County, IA","50,000 - $74,999",470.0,21532.0
"Van Buren County, IA","75,000 - $99,999",290.0,17783.0
"Van Buren County, IA","100,000 - $199,999",200.0,15915.0
"Van Buren County, IA","$200,000 or more",40.0,3230.0
"Wapello County, IA",Under $1,190.0,859.0
"Wapello County, IA","1 - $9,999",2580.0,11044.0
"Wapello County, IA","10,000 - $24,999",3590.0,45258.0
"Wapello County, IA","25,000 - $49,999",4360.0,132694.0
"Wapello County, IA","50,000 - $74,999",2320.0,112326.0
"Wapello County, IA","75,000 - $99,999",1340.0,88550.0
"Wapello County, IA","100,000 - $199,999",1210.0,107415.0
"Wapello County, IA","$200,000 or more",200.0,36078.0
"Warren County, IA",Under $1,240.0,1473.0
"Warren County, IA","1 - $9,999",2910.0,12577.0
"Warren County, IA","10,000 - $24,999",3470.0,43949.0
"Warren County, IA","25,000 - $49,999",4730.0,133609.0
"Warren County, IA","50,000 - $74,999",3590.0,170133.0
"Warren County, IA","75,000 - $99,999",2760.0,184393.0
"Warren County, IA","100,000 - $199,999",3710.0,384231.0
"Warren County, IA","$200,000 or more",690.0,145125.0
"Washington County, IA",Under $1,150.0,1205.0
"Washington County, IA","1 - $9,999",1330.0,6115.0
"Washington County, IA","10,000 - $24,999",2120.0,26313.0
"Washington County, IA","25,000 - $49,999",2630.0,74340.0
"Washington County, IA","50,000 - $74,999",1740.0,77806.0
"Washington County, IA","75,000 - $99,999",1190.0,75350.0
"Washington County, IA","100,000 - $199,999",1120.0,95019.0
"Washington County, IA","$200,000 or more",200.0,24074.0
"Wayne County, IA",Under $1,110.0,588.0
"Wayne County, IA","1 - $9,999",400.0,1319.0
"Wayne County, IA","10,000 - $24,999",580.0,6152.0
"Wayne County, IA","25,000 - $49,999",830.0,22304.0
"Wayne County, IA","50,000 - $74,999",420.0,19308.0
"Wayne County, IA","75,000 - $99,999",210.0,12624.0
"Wayne County, IA","100,000 - $199,999",150.0,11931.0
"Wayne County, IA","$200,000 or more",30.0,3986.0
"Webster County, IA",Under $1,210.0,1223.0
"Webster County, IA","1 - $9,999",2620.0,11648.0
"Webster County, IA","10,000 - $24,999",3770.0,48750.0
"Webster County, IA","25,000 - $49,999",4050.0,116279.0
"Webster County, IA","50,000 - $74,999",2600.0,120083.0
"Webster County, IA","75,000 - $99,999",1580.0,101278.0
"Webster County, IA","100,000 - $199,999",1560.0,127889.0
"Webster County, IA","$200,000 or more",360.0,54834.0
"Winnebago County, IA",Under $1,80.0,704.0
"Winnebago County, IA","1 - $9,999",690.0,3048.0
"Winnebago County, IA","10,000 - $24,999",930.0,11055.0
"Winnebago County, IA","25,000 - $49,999",1440.0,40155.0
"Winnebago County, IA","50,000 - $74,999",840.0,37393.0
"Winnebago County, IA","75,000 - $99,999",550.0,32377.0
"Winnebago County, IA","100,000 - $199,999",490.0,36537.0
"Winnebago County, IA","$200,000 or more",80.0,8705.0
"Winneshiek County, IA",Under $1,230.0,1951.0
"Winneshiek County, IA","1 - $9,999",1300.0,5607.0
"Winneshiek County, IA","10,000 - $24,999",1740.0,21306.0
"Winneshiek County, IA","25,000 - $49,999",2230.0,60960.0
"Winneshiek County, IA","50,000 - $74,999",1540.0,66444.0
"Winneshiek County, IA","75,000 - $99,999",1090.0,64683.0
"Winneshiek County, IA","100,000 - $199,999",1070.0,80881.0
"Winneshiek County, IA","$200,000 or more",230.0,34434.0
"Woodbury County, IA",Under $1,380.0,2941.0
"Woodbury County, IA","1 - $9,999",7340.0,33326.0
"Woodbury County, IA","10,000 - $24,999",11020.0,155545.0
"Woodbury County, IA","25,000 - $49,999",12450.0,378056.0
"Woodbury County, IA","50,000 - $74,999",6740.0,328538.0
"Woodbury County, IA","75,000 - $99,999",3990.0,265149.0
"Woodbury County, IA","100,000 - $199,999",4220.0,398110.0
"Woodbury County, IA","$200,000 or more",890.0,145530.0
"Worth County, IA",Under $1,60.0,0.0
"Worth County, IA","1 - $9,999",490.0,2727.0
"Worth County, IA","10,000 - $24,999",740.0,9635.0
"Worth County, IA","25,000 - $49,999",970.0,26743.0
"Worth County, IA","50,000 - $74,999",580.0,25376.0
"Worth County, IA","75,000 - $99,999",380.0,23022.0
"Worth County, IA","100,000 - $199,999",330.0,24231.0
"Worth County, IA","$200,000 or more",70.0,4708.0
"Wright County, IA",Under $1,80.0,0.0
"Wright County, IA","1 - $9,999",800.0,3523.0
"Wright County, IA","10,000 - $24,999",1230.0,15929.0
"Wright County, IA","25,000 - $49,999",1600.0,45690.0
"Wright County, IA","50,000 - $74,999",970.0,42311.0
"Wright County, IA","75,000 - $99,999",600.0,34703.0
"Wright County, IA","100,000 - $199,999",550.0,36890.0
"Wright County, IA","$200,000 or more",140.0,12276.0
"Allen County, KS",Under $1,110.0,265.0
"Allen County, KS","1 - $9,999",1150.0,4075.0
"Allen County, KS","10,000 - $24,999",1420.0,18389.0
"Allen County, KS","25,000 - $49,999",1580.0,45821.0
"Allen County, KS","50,000 - $74,999",840.0,39311.0
"Allen County, KS","75,000 - $99,999",460.0,29674.0
"Allen County, KS","100,000 - $199,999",340.0,26467.0
"Allen County, KS","$200,000 or more",80.0,11907.0
"Anderson County, KS",Under $1,80.0,407.0
"Anderson County, KS","1 - $9,999",630.0,2279.0
"Anderson County, KS","10,000 - $24,999",750.0,8431.0
"Anderson County, KS","25,000 - $49,999",840.0,22259.0
"Anderson County, KS","50,000 - $74,999",540.0,23584.0
"Anderson County, KS","75,000 - $99,999",320.0,19981.0
"Anderson County, KS","100,000 - $199,999",290.0,24704.0
"Anderson County, KS","$200,000 or more",60.0,5169.0
"Atchison County, KS",Under $1,100.0,580.0
"Atchison County, KS","1 - $9,999",1220.0,4604.0
"Atchison County, KS","10,000 - $24,999",1580.0,20657.0
"Atchison County, KS","25,000 - $49,999",1690.0,49597.0
"Atchison County, KS","50,000 - $74,999",1020.0,47788.0
"Atchison County, KS","75,000 - $99,999",660.0,43894.0
"Atchison County, KS","100,000 - $199,999",580.0,52859.0
"Atchison County, KS","$200,000 or more",100.0,14492.0
"Barber County, KS",Under $1,60.0,603.0
"Barber County, KS","1 - $9,999",420.0,1613.0
"Barber County, KS","10,000 - $24,999",420.0,4937.0
"Barber County, KS","25,000 - $49,999",500.0,14280.0
"Barber County, KS","50,000 - $74,999",360.0,16434.0
"Barber County, KS","75,000 - $99,999",230.0,14185.0
"Barber County, KS","100,000 - $199,999",270.0,18936.0
"Barber County, KS","$200,000 or more",90.0,4486.0
"Barton County, KS",Under $1,150.0,1371.0
"Barton County, KS","1 - $9,999",2120.0,8192.0
"Barton County, KS","10,000 - $24,999",2790.0,37825.0
"Barton County, KS","25,000 - $49,999",3280.0,99161.0
"Barton County, KS","50,000 - $74,999",1900.0,91137.0
"Barton County, KS","75,000 - $99,999",1130.0,72812.0
"Barton County, KS","100,000 - $199,999",1070.0,89255.0
"Barton County, KS","$200,000 or more",300.0,50499.0
"Bourbon County, KS",Under $1,150.0,493.0
"Bourbon County, KS","1 - $9,999",1200.0,4266.0
"Bourbon County, KS","10,000 - $24,999",1610.0,20162.0
"Bourbon County, KS","25,000 - $49,999",1560.0,44404.0
"Bourbon County, KS","50,000 - $74,999",820.0,38636.0
"Bourbon County, KS","75,000 - $99,999",470.0,30715.0
"Bourbon County, KS","100,000 - $199,999",350.0,29409.0
"Bourbon County, KS","$200,000 or more",80.0,12382.0
"Brown County, KS",Under $1,60.0,0.0
"Brown County, KS","1 - $9,999",770.0,3294.0
"Brown County, KS","10,000 - $24,999",980.0,13461.0
"Brown County, KS","25,000 - $49,999",1140.0,31800.0
"Brown County, KS","50,000 - $74,999",640.0,29240.0
"Brown County, KS","75,000 - $99,999",380.0,22156.0
"Brown County, KS","100,000 - $199,999",330.0,25489.0
"Brown County, KS","$200,000 or more",100.0,10682.0
"Butler County, KS",Under $1,330.0,3024.0
"Butler County, KS","1 - $9,999",4470.0,17818.0
"Butler County, KS","10,000 - $24,999",5450.0,68318.0
"Butler County, KS","25,000 - $49,999",5940.0,167632.0
"Butler County, KS","50,000 - $74,999",4330.0,207822.0
"Butler County, KS","75,000 - $99,999",3160.0,216860.0
"Butler County, KS","100,000 - $199,999",4320.0,435893.0
"Butler County, KS","$200,000 or more",1000.0,236415.0
"Chase County, KS",Under $1,20.0,0.0
"Chase County, KS","1 - $9,999",220.0,766.0
"Chase County, KS","10,000 - $24,999",250.0,3066.0
"Chase County, KS","25,000 - $49,999",320.0,7959.0
"Chase County, KS","50,000 - $74,999",180.0,7097.0
"Chase County, KS","75,000 - $99,999",120.0,7292.0
"Chase County, KS","100,000 - $199,999",90.0,6818.0
"Chase County, KS","$200,000 or more",20.0,0.0
"Chautauqua County, KS",Under $1,50.0,0.0
"Chautauqua County, KS","1 - $9,999",250.0,826.0
"Chautauqua County, KS","10,000 - $24,999",340.0,4226.0
"Chautauqua County, KS","25,000 - $49,999",350.0,10114.0
"Chautauqua County, KS","50,000 - $74,999",220.0,9586.0
"Chautauqua County, KS","75,000 - $99,999",110.0,6680.0
"Chautauqua County, KS","100,000 - $199,999",110.0,10594.0
"Chautauqua County, KS","$200,000 or more",30.0,0.0
"Cherokee County, KS",Under $1,120.0,0.0
"Cherokee County, KS","1 - $9,999",1570.0,6428.0
"Cherokee County, KS","10,000 - $24,999",2290.0,30694.0
"Cherokee County, KS","25,000 - $49,999",2090.0,60689.0
"Cherokee County, KS","50,000 - $74,999",1260.0,59797.0
"Cherokee County, KS","75,000 - $99,999",710.0,47077.0
"Cherokee County, KS","100,000 - $199,999",570.0,51588.0
"Cherokee County, KS","$200,000 or more",80.0,10890.0
"Cheyenne County, KS",Under $1,50.0,0.0
"Cheyenne County, KS","1 - $9,999",240.0,1007.0
"Cheyenne County, KS","10,000 - $24,999",260.0,2725.0
"Cheyenne County, KS","25,000 - $49,999",310.0,7548.0
"Cheyenne County, KS","50,000 - $74,999",170.0,7181.0
"Cheyenne County, KS","75,000 - $99,999",100.0,4733.0
"Cheyenne County, KS","100,000 - $199,999",100.0,5535.0
"Cheyenne County, KS","$200,000 or more",40.0,2607.0
"Clark County, KS",Under $1,20.0,0.0
"Clark County, KS","1 - $9,999",170.0,473.0
"Clark County, KS","10,000 - $24,999",180.0,2131.0
"Clark County, KS","25,000 - $49,999",250.0,6608.0
"Clark County, KS","50,000 - $74,999",140.0,6186.0
"Clark County, KS","75,000 - $99,999",110.0,6629.0
"Clark County, KS","100,000 - $199,999",90.0,9487.0
"Clark County, KS","$200,000 or more",20.0,0.0
"Clay County, KS",Under $1,60.0,532.0
"Clay County, KS","1 - $9,999",630.0,2383.0
"Clay County, KS","10,000 - $24,999",810.0,9290.0
"Clay County, KS","25,000 - $49,999",1000.0,27920.0
"Clay County, KS","50,000 - $74,999",640.0,28325.0
"Clay County, KS","75,000 - $99,999",430.0,27122.0
"Clay County, KS","100,000 - $199,999",320.0,23572.0
"Clay County, KS","$200,000 or more",80.0,7985.0
"Cloud County, KS",Under $1,70.0,0.0
"Cloud County, KS","1 - $9,999",730.0,3216.0
"Cloud County, KS","10,000 - $24,999",1020.0,12503.0
"Cloud County, KS","25,000 - $49,999",1060.0,28970.0
"Cloud County, KS","50,000 - $74,999",610.0,27607.0
"Cloud County, KS","75,000 - $99,999",420.0,25078.0
"Cloud County, KS","100,000 - $199,999",260.0,18208.0
"Cloud County, KS","$200,000 or more",60.0,4258.0
"Coffey County, KS",Under $1,50.0,0.0
"Coffey County, KS","1 - $9,999",720.0,3239.0
"Coffey County, KS","10,000 - $24,999",760.0,8799.0
"Coffey County, KS","25,000 - $49,999",840.0,22501.0
"Coffey County, KS","50,000 - $74,999",530.0,24590.0
"Coffey County, KS","75,000 - $99,999",450.0,28721.0
"Coffey County, KS","100,000 - $199,999",610.0,64626.0
"Coffey County, KS","$200,000 or more",110.0,19003.0
"Comanche County, KS",Under $1,0.0,0.0
"Comanche County, KS","1 - $9,999",170.0,702.0
"Comanche County, KS","10,000 - $24,999",170.0,1824.0
"Comanche County, KS","25,000 - $49,999",200.0,5091.0
"Comanche County, KS","50,000 - $74,999",130.0,5542.0
"Comanche County, KS","75,000 - $99,999",90.0,4961.0
"Comanche County, KS","100,000 - $199,999",90.0,5953.0
"Comanche County, KS","$200,000 or more",20.0,0.0
"Cowley County, KS",Under $1,200.0,530.0
"Cowley County, KS","1 - $9,999",2440.0,9514.0
"Cowley County, KS","10,000 - $24,999",3810.0,50373.0
"Cowley County, KS","25,000 - $49,999",4140.0,116260.0
"Cowley County, KS","50,000 - $74,999",2220.0,101037.0
"Cowley County, KS","75,000 - $99,999",1400.0,89466.0
"Cowley County, KS","100,000 - $199,999",1350.0,118279.0
"Cowley County, KS","$200,000 or more",240.0,29194.0
"Crawford County, KS",Under $1,240.0,1291.0
"Crawford County, KS","1 - $9,999",3240.0,13536.0
"Crawford County, KS","10,000 - $24,999",4080.0,54539.0
"Crawford County, KS","25,000 - $49,999",3970.0,115408.0
"Crawford County, KS","50,000 - $74,999",2070.0,96865.0
"Crawford County, KS","75,000 - $99,999",1260.0,81588.0
"Crawford County, KS","100,000 - $199,999",1160.0,103561.0
"Crawford County, KS","$200,000 or more",270.0,43398.0
"Decatur County, KS",Under $1,60.0,194.0
"Decatur County, KS","1 - $9,999",270.0,801.0
"Decatur County, KS","10,000 - $24,999",310.0,3315.0
"Decatur County, KS","25,000 - $49,999",330.0,8166.0
"Decatur County, KS","50,000 - $74,999",220.0,8519.0
"Decatur County, KS","75,000 - $99,999",110.0,5986.0
"Decatur County, KS","100,000 - $199,999",140.0,9200.0
"Decatur County, KS","$200,000 or more",30.0,0.0
"Dickinson County, KS",Under $1,150.0,539.0
"Dickinson County, KS","1 - $9,999",1510.0,6254.0
"Dickinson County, KS","10,000 - $24,999",1920.0,24101.0
"Dickinson County, KS","25,000 - $49,999",2420.0,68604.0
"Dickinson County, KS","50,000 - $74,999",1450.0,66355.0
"Dickinson County, KS","75,000 - $99,999",850.0,52610.0
"Dickinson County, KS","100,000 - $199,999",760.0,64941.0
"Dickinson County, KS","$200,000 or more",130.0,14674.0
"Doniphan County, KS",Under $1,70.0,583.0
"Doniphan County, KS","1 - $9,999",520.0,2210.0
"Doniphan County, KS","10,000 - $24,999",720.0,8928.0
"Doniphan County, KS","25,000 - $49,999",800.0,23430.0
"Doniphan County, KS","50,000 - $74,999",570.0,26865.0
"Doniphan County, KS","75,000 - $99,999",360.0,23258.0
"Doniphan County, KS","100,000 - $199,999",270.0,23049.0
"Doniphan County, KS","$200,000 or more",60.0,5303.0
"Douglas County, KS",Under $1,610.0,4178.0
"Douglas County, KS","1 - $9,999",8080.0,36389.0
"Douglas County, KS","10,000 - $24,999",10890.0,152729.0
"Douglas County, KS","25,000 - $49,999",11720.0,354411.0
"Douglas County, KS","50,000 - $74,999",6600.0,316678.0
"Douglas County, KS","75,000 - $99,999",4450.0,292427.0
"Douglas County, KS","100,000 - $199,999",6090.0,584803.0
"Douglas County, KS","$200,000 or more",1840.0,382816.0
"Edwards County, KS",Under $1,0.0,0.0
"Edwards County, KS","1 - $9,999",240.0,829.0
"Edwards County, KS","10,000 - $24,999",290.0,3838.0
"Edwards County, KS","25,000 - $49,999",420.0,12135.0
"Edwards County, KS","50,000 - $74,999",240.0,10572.0
"Edwards County, KS","75,000 - $99,999",130.0,8012.0
"Edwards County, KS","100,000 - $199,999",120.0,7825.0
"Edwards County, KS","$200,000 or more",40.0,2801.0
"Elk County, KS",Under $1,40.0,0.0
"Elk County, KS","1 - $9,999",250.0,981.0
"Elk County, KS","10,000 - $24,999",270.0,2900.0
"Elk County, KS","25,000 - $49,999",310.0,7865.0
"Elk County, KS","50,000 - $74,999",150.0,5837.0
"Elk County, KS","75,000 - $99,999",90.0,5464.0
"Elk County, KS","100,000 - $199,999",90.0,4492.0
"Elk County, KS","$200,000 or more",0.0,0.0
"Ellis County, KS",Under $1,180.0,1374.0
"Ellis County, KS","1 - $9,999",2230.0,9783.0
"Ellis County, KS","10,000 - $24,999",2940.0,40538.0
"Ellis County, KS","25,000 - $49,999",3000.0,88661.0
"Ellis County, KS","50,000 - $74,999",1900.0,89556.0
"Ellis County, KS","75,000 - $99,999",1360.0,88177.0
"Ellis County, KS","100,000 - $199,999",1450.0,128434.0
"Ellis County, KS","$200,000 or more",430.0,75076.0
"Ellsworth County, KS",Under $1,40.0,0.0
"Ellsworth County, KS","1 - $9,999",410.0,1760.0
"Ellsworth County, KS","10,000 - $24,999",550.0,6568.0
"Ellsworth County, KS","25,000 - $49,999",740.0,20678.0
"Ellsworth County, KS","50,000 - $74,999",470.0,19929.0
