County,Number of Mcdonalds
"Linn County, MO",3
"Logan County, OH",15
"Loudon County, TN",41
"Loudoun County, VA",50
"Loup County, NE",1
"Lucas County, IA",3
"Lunenburg County, VA",5
"Lyon County, MN",1
"Macon County, AL",20
"Macon County, MO",5
"Madison County, MT",7
"Madison County, NE",2
"Madison County, NY",23
"Manatee County, FL",50
"Marengo County, AL",2
"Maries County, MO",8
"Marion County, IA",9
"Marion County, KY",10
"Marshall County, MS",27
"Marshall County, TN",23
"Marshall County, WV",5
"Martin County, FL",46
"Martin County, TX",7
"Mason County, WA",12
"Maui County, HI",11
"Maverick County, TX",8
"McCracken County, KY",9
"McCurtain County, OK",16
"McHenry County, ND",3
"McPherson County, KS",9
"McPherson County, NE",1
"Medina County, OH",50
"Meigs County, TN",22
"Mercer County, OH",17
"Mercer County, PA",33
"Middlesex County, CT",49
"Mille Lacs County, MN",49
"Mills County, TX",1
"Milwaukee County, WI",50
"Mineral County, MT",6
"Minidoka County, ID",8
"Mississippi County, AR",9
"Mitchell County, KS",1
"Mobile County, AL",50
"Moniteau County, MO",16
"Monroe County, AL",18
"Montcalm County, MI",17
"Monterey County, CA",40
"Montgomery County, KS",3
"Montgomery County, NC",14
"Montgomery County, NY",15
"Montgomery County, TN",19
"Montgomery County, VA",19
"Morgan County, GA",23
"Morrill County, NE",1
"Morris County, KS",4
"Moultrie County, IL",15
"Nassau County, NY",50
"Navajo County, AZ",3
"Navarro County, TX",50
"New Castle County, DE",50
"New Kent County, VA",49
"New Madrid County, MO",6
"Newton County, IN",15
"Nicollet County, MN",28
"Noble County, OH",11
"Norfolk County, MA",50
"Northampton County, NC",44
"Ocean County, NJ",50
"Oceana County, MI",8
"Ohio County, KY",11
"Okaloosa County, FL",19
"Okmulgee County, OK",22
"Oktibbeha County, MS",7
"Oldham County, TX",16
"Orange County, IN",2
"Orange County, TX",19
"Osage County, KS",12
"Oswego County, NY",50
"Otero County, CO",1
"Otsego County, NY",10
"Ozark County, MO",5
"Panola County, MS",9
"Panola County, TX",12
"Pawnee County, OK",7
"Pemiscot County, MO",6
"Pendleton County, WV",4
"Peoria County, IL",20
"Pepin County, WI",5
